epoch,loss_d,loss_g
1,0.45854613184928894,6.665219783782959
2,2.771144151687622,9.068838119506836
3,1.0607070922851562,7.737044334411621
4,0.3548824191093445,4.391867637634277
5,0.28955936431884766,3.3743069171905518
6,0.41612929105758667,3.543417453765869
7,1.0032941102981567,6.369598388671875
8,0.5147507190704346,5.821844100952148
9,0.8308196067810059,2.052825689315796
10,0.6525412201881409,2.0491034984588623
11,0.22387945652008057,4.847249984741211
12,0.7474895715713501,2.5833020210266113
13,0.9010567665100098,2.0983076095581055
14,0.7695707678794861,4.908057689666748
15,0.2789584994316101,4.674948692321777
16,0.4624652564525604,2.8855371475219727
17,1.0228214263916016,2.2245917320251465
18,0.5703243017196655,6.195652961730957
19,0.7707613706588745,6.723357200622559
20,0.7956137657165527,2.057788610458374
